food_id,food_name,cuisine,category,calories,protein,carbs,fats,spice_level,veg_nonveg,price,meal_type,image_url,description,ingredients,allergens
f1,Paneer Tikka,Indian,Lunch,320,18,10,22,High,Veg,280,Heavy,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=600&h=400&fit=crop,Spicy grilled paneer cubes marinated in yogurt and Indian spices. High in protein.,"paneer,yogurt,bell pepper,onion,ginger,garlic,cumin,coriander,turmeric,chili powder,oil",Dairy
f2,Butter Chicken,Indian,Dinner,480,28,12,35,Medium,Non-Veg,380,Heavy,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=600&h=400&fit=crop,Tender chicken in a creamy tomato-based spiced gravy. Ultimate comfort food.,"chicken,butter,cream,tomato,onion,ginger,garlic,cashew,cumin,coriander,turmeric,chili",Dairy|Nuts
f3,Margherita Pizza,Italian,Dinner,350,14,42,13,Low,Veg,320,Heavy,https://images.unsplash.com/photo-1574071318508-1cdbab80d002?w=600&h=400&fit=crop,Classic Italian pizza with fresh tomato sauce and mozzarella.,"flour,yeast,mozzarella,tomato,basil,olive oil,salt",Gluten|Dairy
f4,Chicken Alfredo Pasta,Italian,Dinner,550,26,48,25,Low,Non-Veg,360,Heavy,https://images.unsplash.com/photo-1645112411341-6c4fd023714a?w=600&h=400&fit=crop,Creamy fettuccine in buttery Alfredo sauce with grilled chicken.,"fettuccine,chicken,butter,cream,parmesan,garlic,flour,salt,pepper",Gluten|Dairy
f5,Veg Schezwan Noodles,Chinese,Lunch,380,8,65,10,High,Veg,220,Heavy,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?w=600&h=400&fit=crop,Spicy stir-fried noodles with crunchy vegetables and Schezwan sauce.,"noodles,bell pepper,carrot,cabbage,spring onion,soy sauce,schezwan sauce,garlic,oil",Gluten|Soy
f6,Sushi Combo,Japanese,Dinner,420,22,60,8,Low,Non-Veg,450,Light,https://images.unsplash.com/photo-1579584425555-c3ce17fd4351?w=600&h=400&fit=crop,"Assorted fresh sushi rolls with tuna, salmon, and avocado.","sushi rice,nori,tuna,salmon,avocado,cucumber,soy sauce,wasabi,ginger",Fish|Soy|Sesame
f7,Tofu Veg Stir-Fry,Chinese,Lunch,250,15,20,12,Medium,Veg,240,Light,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600&h=400&fit=crop,Crispy tofu with broccoli and bell peppers in ginger-soy glaze.,"tofu,broccoli,bell pepper,ginger,garlic,soy sauce,sesame oil,cornstarch",Soy|Sesame
f8,Caesar Salad with Chicken,American,Lunch,340,24,12,18,Low,Non-Veg,290,Light,https://images.unsplash.com/photo-1550304943-4f24f54ddde9?w=600&h=400&fit=crop,"Romaine lettuce, parmesan, croutons, and grilled chicken with Caesar dressing.","romaine lettuce,chicken,parmesan,croutons,egg yolk,anchovy,garlic,olive oil,lemon",Gluten|Dairy|Eggs|Fish
f9,Oatmeal with Berries,American,Breakfast,210,6,38,3,Low,Veg,150,Light,https://images.unsplash.com/photo-1517673400267-0251440c45dc?w=600&h=400&fit=crop,"Warm rolled oats with fresh strawberries, blueberries, and honey.","oats,strawberry,blueberry,honey,milk",Dairy
f10,Avocado Toast with Eggs,American,Breakfast,310,12,24,18,Low,Veg,180,Light,https://images.unsplash.com/photo-1525351484163-7529414344d8?w=600&h=400&fit=crop,Toasted sourdough with mashed avocado and poached eggs.,"sourdough bread,avocado,egg,salt,pepper,lemon,chili flakes",Gluten|Eggs
f11,Greek Salad,Italian,Lunch,220,5,10,18,Low,Veg,220,Light,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?w=600&h=400&fit=crop,"Cucumbers, tomatoes, olives, and feta cheese in Greek dressing.","cucumber,tomato,olive,feta cheese,red onion,olive oil,oregano",Dairy
f12,Taco Fiesta,Mexican,Dinner,410,18,35,16,Medium,Non-Veg,260,Heavy,https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=600&h=400&fit=crop,"Crispy corn tortillas with seasoned beef, lettuce, cheese, and salsa.","corn tortilla,beef,lettuce,cheddar cheese,tomato,onion,salsa,cumin,chili",Dairy
f13,Chana Masala,Indian,Lunch,280,12,45,6,Medium,Veg,180,Heavy,https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=600&h=400&fit=crop,Chickpea curry in a spiced tomato-onion gravy. High in fiber.,"chickpea,tomato,onion,ginger,garlic,cumin,coriander,turmeric,chili,oil",
f14,Paneer Butter Masala,Indian,Dinner,450,16,14,36,Medium,Veg,290,Heavy,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=600&h=400&fit=crop,Cottage cheese curry in a tomato-butter-cashew gravy.,"paneer,butter,cream,tomato,cashew,onion,ginger,garlic,cumin,fenugreek",Dairy|Nuts
f15,Masala Dosa,Indian,Breakfast,320,6,54,8,Medium,Veg,120,Light,https://images.unsplash.com/photo-1610192244261-3f33de3f55e4?w=600&h=400&fit=crop,Crispy rice-lentil crepe stuffed with spiced potato mash.,"rice,urad dal,potato,mustard seeds,curry leaves,turmeric,onion,oil",
f16,Dal Tadka & Rice,Indian,Lunch,340,10,58,5,Medium,Veg,140,Heavy,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=600&h=400&fit=crop,"Yellow lentil soup tempered with ghee and cumin, with basmati rice.","toor dal,basmati rice,ghee,cumin,garlic,onion,tomato,turmeric,chili",Dairy
f17,Beef Burger & Fries,American,Dinner,680,32,70,30,Low,Non-Veg,350,Heavy,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=600&h=400&fit=crop,"Grilled beef patty with cheese, lettuce, pickles, and golden fries.","beef patty,burger bun,cheddar cheese,lettuce,tomato,pickle,onion,potato,oil",Gluten|Dairy
